false,false,1.0,1,61.794018,97.78427,95.26792
false,false,1.0,2,88.11881,98.83182,95.89182
false,false,1.0,3,80.19802,98.62442,95.86667
false,false,2.0,1,59.333332,97.42255,89.50856
false,false,2.0,2,36.0,94.6113,80.548004
false,false,2.0,3,84.0,98.45161,93.630264
false,false,3.0,1,35.666664,94.905235,86.51444
false,false,3.0,2,18.0,92.9335,68.8705
false,false,3.0,3,13.0,88.45069,61.068916
true,true,1.0,1,34.551495,94.92049,83.71573
true,true,1.0,2,100.0,99.342575,97.73585
true,true,1.0,3,100.0,99.77738,99.6
true,true,2.0,1,55.333336,95.95476,82.09347
true,true,2.0,2,16.0,94.59888,76.76301
true,true,2.0,3,52.999996,97.29298,88.23169
true,true,3.0,1,48.666668,96.571754,86.325096
true,true,3.0,2,14.5,87.87228,55.28933
true,true,3.0,3,23.0,93.37322,72.57531
true,false,1.0,1,81.06312,98.727295,94.64151
true,false,1.0,2,23.762377,96.19076,95.62264
true,false,1.0,3,95.04951,99.11464,97.46667
true,false,2.0,1,88.333336,99.0006,97.08208
true,false,2.0,2,28.0,95.78334,81.13561
true,false,2.0,3,76.0,98.124,96.783
true,false,3.0,1,38.666664,96.48292,86.375435
true,false,3.0,2,20.0,93.486496,73.88653
true,false,3.0,3,26.0,95.13241,79.399506
false,true,1.0,1,75.41528,98.38893,96.37736
false,true,1.0,2,100.0,99.60528,98.93585
false,true,1.0,3,100.0,99.40796,97.406296
false,true,2.0,1,49.0,97.1793,89.34818
false,true,2.0,2,29.0,93.88419,81.34423
false,true,2.0,3,46.0,96.986084,87.54594
false,true,3.0,1,40.666668,95.74536,86.842766
false,true,3.0,2,18.0,90.208145,63.393257
false,true,3.0,3,27.5,95.677246,82.28507
